id|title|text
1|St Ives Bay|The western side of the bay is on higher ground and is more densely inhabited with substantial settlements at Lelant, Carbis Bay and St Ives.
2|Round Top, Pennsylvania|In addition to the 1884 Round Top Park and 1888 Round Top Museum with the adjacent Rosensteel Park, the community had two additional recreation groves: Cunningham Grove east of Little Round Top The community was the eponym for the Round Top hunting A fast food concession built in 1962-3 remains on the southwest corner of the Wheatfield and Taneytown roads.
3|Karolina Bosiek|She competed in the women's 3000 metres at the 2018 Winter Olympics.
4|Fontanella, Lombardy|Fontanella borders the following municipalities: Antegnate, Barbata, Calcio, Casaletto di Sopra, Pumenengo, Soncino, Torre Pallavicina.
5|<i>Blasto</i> (video game)|The game has a strong platforming factor, with elements such as rotating 3D sections which have to be navigated while shooting at aliens.
6|Ottoman cruiser <i>Mecidiye</i>|All warships of the former Ottoman Navy which survived World War I were transferred to the Turkish Navy in 1925.
7|RK Gorenje Velenje|Yugoslav handball league was a great honor and commitment to hard work.
8|<i>The Most Beautiful Couple in the World</i>|The Most Beautiful Couple in the World is a 1968 Italian musical comedy film directed by Camillo Mastrocinque and starring Walter Chiari, Paola Quattrini and Aldo Giuffrè.
9|Renell Wren|Wren was placed on the active/non-football injury list at the start of training camp on August 3, 2020.
10|<i>Heracleum sphondylium</i>|The species name sphondylium, meaning vertebrate, refers to the shape of the segmented stem.
11|<i>Bright Promise</i>|Having replaced the game show You Don't Say!, Bright Promise would give way to another serial, Return to Peyton Place, on the NBC daytime schedule; the serial had been soundly defeated in the Nielsen ratings by CBS' The Edge of Night and ABC's One Life to Live.
12|Macroom Oatmeal|The mill has been operated continuously by the same family since the 1700s.
13|<i>Cephaloziella</i>|is the only liverwort that occurs in the continental Antarctic.
14|Vetulicolia|From their superficially tadpole-like forms, leaf or paddle-shaped tails, and various degrees of streamlining, it is assumed that all vetulicolians discovered thus far were swimming animals that spent much, if not all, of their time living in the water column.
15|Dewilda Naramore Harris|Naramore married businessman William Page Harris in 1956, as his second wife.
16|Pandulf Verraccio|His arrogance was tolerated while the regency was still in need of papal assistance; but in 1221 Hubert de Burgh and the primate Stephen Langton successfully moved the pope to recall Pandulf and to send no other legate a latere in his place.
17|Ashoka|One must not think thus, – may reach this.
18|<i>The Adventures of Ozzie and Harriet</i>|On May 26, 2022, the complete digitally remastered seasons one and two will be released on DVD, marking the first time complete seasons of the show have been released on home video.
19|Nikola Zivotic|Nikola Zivotic is an Austrian footballer who plays as a left winger for SV Lafnitz.
20|Drybin|Drybin is an urban-type settlement and the center of Drybin District, in the Mogilev Region of Belarus.
21|Aaron Molyneaux Hewlett|Hewlett participated in civic life and stood up for his rights.
22|Hua Mak|Hua Mak (Thai: หัวหมาก, pronounced.
23|Eric Weatherhat|According to the Swedish Chronicle, the cognomen Weatherhat refers to the accommodating wind he enjoyed whilst pillaging in the Baltic Sea region.
24|NGC 86|NGC 86 is a lenticular galaxy estimated to be between 275 and 300 million light-years away in the constellation of Andromeda.
25|<i>Rhyssemus germanus</i>|Rhyssemus germanus is a species of aphodiine dung beetle in the family Scarabaeidae.
26|Millman Island|Millman Island is an island in the Huron River, near Lake Erie, in Wayne County, Michigan.
27|Old Viewforth|A large extension, extending the building eastwards to a design by James Miller in an art deco style in order the create additional administrative facilities for the county council, was added in 1937.
28|<i>Campsis radicans</i>|The flowers are very attractive to hummingbirds, and many types of birds like to nest in the dense foliage.
29|<i>Ceratina acantha</i>|Ceratina acantha is a species of carpenter bee in the family Apidae.
30|1840 United States presidential election in Arkansas|Voters chose three representatives, or electors to the Electoral College, who voted for President and Vice President.
31|Chung Mong-gyu|The affiliates of Hyundai Development Company include Hyundai EP, I·Controls, I·Service, Hyundai IPARK Mall, Young Chang Music, I&CONS, Hotel IPARK, Hyundai PCE, IPARK Sports, HDC Asset Management and HDC Shilla Duty Free.
32|Perdrigon|The perdrigon, occasionally spelt perdigon, is an old variety of culinary plum originating in the south of France.
33|Zimmerman–Rudeen House|It was designed by George A.
34|Zamani Saul|He obtained a master's degree in Development Studies from the University of the Free State and a Master of Laws degree from the University of the Western Cape.
35|Gerry O'Connor (fiddle player)|Gerry is married to fiddle player and chartered engineer Síle Boylan.
36|South Farnham School|The school is also a teaching school, taking the project lead role in the Surrey South Farnham School Centred Teacher Training project.
37|<i>The Loch Ness Horror</i>|The Nessie puppet was later used as Jack the Ripper in one of the Bullshit or Not? segments in Amazon Women on the Moon.
38|Temple of Debod|The shrine was originally erected 15 kilometres south of Aswan From the quay, there is a long processional way leading to the stone-built enclosure wall, through three stone pylon gateways, and finally to the temple itself.
39|2012–13 New Orleans Privateers men's basketball team|This was the Privateers last year as an independent as they will join the Southland Conference in July 2013.
40|Mitchell's Brick House Tavern|Mitchell's Brick House Tavern, also known as Oakland, Hite House, Goodwin Tavern, Goodwin House and Coco House, is a historic home located at Arrington, Nelson County, Virginia.
