,text,num_words,tag
418621,"As it was unavoidable in time of war to contract a debt, so it ought to be the object of go- vernment in time of peace, to reduce that debt; and this would be the effect of the present bill.",40,comp_sent
7071646,"To maintain them would cost in men, victuals, coals, and repairs, £150, 000 annually.",14,comp_sent
4821597,"That was not the only unanimous recommendation of the Commissioners, for there were a great many of the numerous recommendations which were made unanimously, and which were not included in in the Bill before the House.",36,comp_sent
8738005,"The proper course is to keep on the agitation, and send up the Bill again.",15,comp_sent
77972,"As to the case which had been stated by his noble friend, in support and justification of the measures of his Majesty's ministers respecting Portugal, he should be ashamed to waste the time of their lordships by dwelling upon it.",40,comp_sent
4446466,"Hence the necessity of inquiry, beginning from the root.",9,comp_sent
1684504,"He admitted that the suspense occasioned by the protracted nature of the negotiations going on between that country and France had caused great inconvenience to the trade, and it would be very desirable to put an end to that suspense as speedily as possible.",44,comp_sent
10918704,"Another reason for the Amendment was that under the present law the master of the trawler would be summoned before a Court, where he could state his case; under this clause no opportunity whatever was given to the master to be heard in his defence.",45,comp_sent
5712297,"Member for Roscommon has asked the Chancellor of the Exchequer to give a day for the resumption of the debate, and he did not ask for the day to be mentioned at the present moment, but what was the reply?",40,comp_sent
10515967,"It is the duty of the person who sits here to determine a question exactly as he would determine the same question if sitting in Stockholm—to assert no pretentions on the part of Great Britain which he would not allow to Sweden under the same circumstances, and to impose no duties on Sweden as a neutral country which he would not admit to belong to Great Britain in the same character. """,72,comp_sent
3943967,"Then, when any offence became common, as, for instance, stealing from a dwelling-house to the value of forty shillings, it was made a capital felony, until at last our statute-book became a discredit to any civilized country, and was obliged to be reformed.",43,comp_sent
5436998,"In the end the choice fell upon Sir Henry Wotton; a famous traveller, linguist, and diplomatist, who did much to keep up the repute of the Provostship.",27,comp_sent
3364695,"He thought it might be reasonable to allow the dividend of 2 in the pound to be retained by those creditors who had received it, but he moved that their Lordships should insist upon their proposal that such creditors should not be entitled to receive any further dividend or to have recourse to any other remedy than could be obtained in respect of the judgments against the lands.",68,comp_sent
7439329,"List, No. 95. )",4,comp_sent
5553683,"Member for Dublin (Mr. Brooks), which he had agreed to withdraw, they were all directed to the principle of the clause.",21,comp_sent
7212270,"Member that anything which checked in any fashion the growing habits of thrift—for he believed them to be growing habits, despite what was said outside—would be a misfortune.",28,comp_sent
3515054,"He recollected reading, some seven or eight years ago, a speech from his noble Friend the Secretary for India to his constituents at King's Lynn, and his noble Friend, after touching, in his usual eloquent and impressive way, upon various subjects, addressed himself to the subject of Parliamentary Reform, and spoke somewhat to this effect.",55,comp_sent
3201907,"This petition was signed by many magistrates who resided upon the borders of the two counties, and the information they gave as to the state of crime in Yorkshire as compared with Lancashire, and the difference in the two counties of the means of detecting crime, was fully borne out by other testimony.",53,comp_sent
6628624,"In fact, they were intended to apply those principles to the specific cases to which they ought to apply, but to which they would not apply if the Bill stood as it was at present drawn.",36,comp_sent
7765098,"The examinations of students in connection with the residential colleges are conducted by the highest skilled officers of the Education Department, who all act upon the same lines and have a given standard for the whole country, and who have nothing to do with those residential colleges.",47,comp_sent
173919,"Undoubtedly, if any officer, acting under a warrant, or any other authority, entered the House without having received its previous permission, I should hold that to be the highest breach of its privilege that could be committed, and it should not be suffered to pass unpunished.",46,comp_sent
1545331,"That was the ground for resuming office, upon which the Government now stood, and it was, too, upon that ground they appealed to the country for support.",27,comp_sent
9774724,"The statutes forbade leases except for twenty-one years in possession, and forty years for mining and building, but the Church was in the habit of granting renewals on the payment of fines.",32,comp_sent
7966468,"In the Act of 1860, which with a slight modification still governed ejectments, the 70th section provided that the landlord's right to the land was to be absolute after the proceedings for nonpayment of rent there pointed out had been taken unless there was payment or redemption: six months being allowed for redemption by the clause which followed.",58,comp_sent
3597402,"Member, if he thinks fit, to raise a discussion on the merits of that first Resolution when the House is resumed and the Resolution is reported; I will not, therefore, detain the Committee by any reference to it.",38,comp_sent
5118285,"Gentleman said that when the Secretary to the Lord Lieutenant went to Ireland, the only complaint made to him was about the River Shannon, he (Mr. Butt) must remind the right hon.",32,comp_sent
1582395,"He did not pretend to say what might be the consequence of their Lordships' decision; but this he was sure of, that if they wished to settle this question, they were acting in an imprudent manner to raise up obstacles to their own success.",44,comp_sent
5243264,"When during last Session it was announced that His Royal Highness the Prince of Wales was about to visit India, the announcement was received with unmingled pleasure.",27,comp_sent
10707493,"If I find that my colleague and I have misunderstood each other, or that I am not keeping a pledge, I will do my best to satisfy both Houses on the point.",32,comp_sent
1381841,"And further, if the Attorney-General would look through the Parliamentary proceedings, he would see the names on the back of that Bill of the noble Lord (Lord John Russell) and the Chancellor of the Exchequer.",35,comp_sent
9783093,"The character of the security taken for the forms of the law to be observed in the Act of 1870 was that the Board of Education had power to declare any school board in default, and thereupon to appoint a school board of its own.",45,comp_sent
3505973,"It is, however, a very singular fact that, when the time of struggle came, so far from our being able to rely on those who had been restored to their property and placed in repossession of their lands; so far from their finding security or support, so far from deriving any from these little village proprietors, they one and all at the first outbreak deserted the Government which had conferred upon them those benefits, placed themselves under the suzerainty of the old talookdars, and unhesitatingly followed them throughout the whole rebellion, without the slightest consideration for, or gratitude towards the Government.",101,comp_sent
8962119,"I do not propose to make anything that would deserve the name of a speech, but a very important change came over the spirit, I think over the matériel, of this discussion at a time when the House was not so full as it is now, during a portion of the speech—of the brilliant, eloquent, forcible, and unanswerable speech—of the hon. and learned Member for Plymouth.",66,comp_sent
4789868,"It is far more essential that the artillery should consist of a large number of batteries capable of expansion at short notice than that we should have a few batteries so large in number that though the actual force of men and horses is the same, still you have not the means of expanding them.",55,comp_sent
9530796,"There were 8, 000, or thereabouts, of these Church schools to which Nonconformist parents were compelled to send their children, and this was called a grievance.",26,comp_sent
782094,"He would not enter at length into the subject, but he was prepared to contend, that the Clergy of the Established Church had as good a right to their tithes as any Gentleman in the country had to his property.",40,comp_sent
9028021,"The manual industries it used to have, such as hand-loom weaving, embroidery and brass work, have almost been extinguished by our cheaper manufactures, and millions of small artificers are now thrown on the soil for maintenance.",36,comp_sent
4756692,"The Bill, indeed, might be referred to that Committee, who might find it a very useful foundation for the amendment of the laws.",23,comp_sent
771014,"He concurred with those who thought that the right to tithes was as full, as sacred, and as complete, as the right which their Lordships had to their estates; but the collection of this property led to such inconvenience, and impeded the application of capital to agricultural improvement so much, as to require their Lordships to ascertain whether they could not find and apply some substitute for this species of property, giving the proprietors a full equivalent for everything of which they might be deprived.",85,comp_sent
2210056,"Members who might thereafter be placed in a similarly unpleasant situation, he felt it his duty to call the attention of the House to the extreme difficulty in which he was placed, owing to the loose wording of the Act which provided the giving of notice of the objection to be made.",52,comp_sent
5648047,"I can now say that the more I have seen of the results of women's suffrage the less have my objections been realized, and the more has the thing commended itself to my judgment and good opinion; and now I frankly acknowledge, after all my distrust, that it has worked well and been productive of much good to the territory, and of no evil that I have been able to discern.",71,comp_sent
2806848,"Gentleman the Secretary for the Colonies upon the point of precedent, for he maintained that every precedent in English Colonial history was in favour of an elected upper chamber.",29,comp_sent
4749529,"That Census would probably show a population of 3, 300, 000, and an assessment of 18 a head on a sixth of that number of people would produce £500, 000.",30,comp_sent
5104803,"Governing Bodies and corporations appeared to be threatened with alterations and with dissolution, whether there was any reason or not for such proceedings; and there was one further principle in the action of the Commission which caused great alarm.",39,comp_sent
9166660,"As regards illegal trawling the Government have taken measures to prevent trawling within the enclosed areas, as has been privately explained to the hon.",24,comp_sent
8741195,"I believe that in the Estimates it is calculated that the new charge will produce something like £16, 000, but the right hon.",23,comp_sent
7954323,"Gentleman gave an amusing answer to the Loader of the Opposition on this point, for he said, ""You have to get hold of these men and make them amenable. """,30,comp_sent
5196618,"Members on the other side who, in the most striking manner, opposed even the principle of compulsion; but as one of the morning papers said on the following day, those hon.",31,comp_sent
455213,"The learned lord proceeded to say, that he could see no necessity for the present motion; for the very warrant, the legality of which was now attempted to be disputed, was at that moment before the lords of session in Scotland, who would have to adjudicate upon it.",48,comp_sent
5942622,"He thought, perhaps, that that statement almost dispensed with the necessity at the present time for any further explanation.",19,comp_sent
5061569,"The plan of operations was to discipline the savage tribes, and with them to perform the campaign.",17,comp_sent
9511557,"Member for North Camberwell he had not seen its terms, the Amendment not being on the Paper.",17,comp_sent
2496521,"Sir, I therefore feel no remorse with respect to my share of the Government of 1835.",16,comp_sent
7058891,"I always feel glad, Sir, to bow to any ruling that may fall from you, and I will at once proceed to the point.",24,comp_sent
396061,"I am not now speaking of Holland exclusively, which contains little more than two millions; but the kingdom of the Netherlands, containing six or seven millions. """,27,comp_sent
7120617,"We ought to be prepared for such an event, and not allow ourselves to be taken unawares.",17,comp_sent
1881100,"The same facts pervaded all the trades of Bolton, showing 3, 651 .",13,comp_sent
3396872,"I rise, Sir, to perform a duty which is most gratifying to myself, and which I trust, nay, I am sure, will he equally gratifying to the House, —that is, to propose a Resolution in accordance with that intimation of the wish of the Sovereign which has just been read from the Chair.",53,comp_sent
2948416,"This was a strong reason for postponing, if not for averting, all hostilities; and I believe that they might have been averted, if not for ever, at all events for a considerable time, if Turkey had accepted Prince Menchikoff's ultimatum , and I also think it must be perfectly clear to those who may read the papers before the House that Turkey would have accepted it had she not been taught to expect aid from her allies.",77,comp_sent
