sentence_id,text
S3V0029P0_888,"He was aware of that; but what he complained of was, that this subscription was made in so loose a way that there were many who thought that no oath was taken at it; and it appeared from the letter to which he had just referred, it was supposed that many who had actually subscribed these Articles, were in a doubt as to whether or not they were bound to their observance by an oath."
S4V0180P0_22322,That remained absolutely the same in this country as in Scotland.
S3V0306P0_24778,"I think the provision that only 10 s. shall be given for ballot boxes is too small, and I would point out that in the Scotch Bill the sum is a guinea."
S3V0207P0_21830,"The Amendment, if adopted, would undoubtedly have the effect of securing a thorough investigation into the acts of bribery perpetrated, and of bringing the guilt home to the offending parties."
S3V0228P0_24139,"It seems to me, as has been previously said, that the Bill has not been argued against, but that the only thing which has been argued against is something that the Bill is supposed to portend, and which, in my opinion, is not likely to happen."
S3V0187P0_29403,"In 1864 this question was considered by Lord De Grey, who decided to adhere to the existing terms of the warrant; but, from inquiries he had made, he was disposed to think that the subject might fairly be re-considered, and he should accordingly give it his best attention."
S5LV0003P0_161,"If the authority was exercised by the Board of Education the obligation which was placed upon the students was binding and could be enforced by the Board, but they would be at liberty to accept employment in any part of the country where their services might be required."
S4V0001P0_26295,"But are we competent here, on the floor of this House, to determine the question?"
S3V0134P0_9102,"In Scotland, if upon application the heritors refused to make a church rate, and to rebuild a church when it had fallen down, the Presbyters had the power of compelling them to make those rates and to rebuild churches, notwithstanding the difference of their doctrines and creeds."
S3V0013P0_430,"Some of their Lordships had thought proper to laugh when he mentioned the words """"courtiers and debauchees; """"but whether it was a proper matter for merriment to hear their Lordships described as debauchees, he would leave to the House to determine."
S3V0136P0_24368,"I believe, on the very next day, certainly within one or two days at furthest, after information was received of that event, without a message, and without even waiting for official intelligence—Parliament insisted upon an instant inquiry, although the war was then going on, and although that humiliation was followed by a victory."
S3V0347P0_1494,"Whether any regulations now proposed to be made, under an ordinance to be submitted to the Council of Government in Malta, to regulate the civil effects of marriages celebrated heretofore, or which will in future be celebrated in that island, will in any way invalidate, or cast any doubt upon the validity of, any mixed marriages heretofore celebrated in bond fide with the sanction of the constituted authorities of the island; (2) on what ground of law it is proposed to be declared that any marriages so celebrated will be invalid in the future, said: My Lords, the questions of which I have given notice, and which are upon the Paper, arise out of certain statements which appear in the Correspondence connected with Sir Lintorn Simmons's Special Mission to the Vatican with regard to religious questions in the Island of Malta, and I must say that the statements as they stand have given rise to a great deal of disquietude."
S3V0001P0_648,"I certainly did, my Lords, express my approbation of the conduct of the French people on a former occasion, but, if it is necessary to recall to your Lordships' recollection what fell from so humble an individual as myself, I took care to state, that all revolutions were in themselves bad, and could only be justified by a serious and plain necessity; but if they are necessary, my Lords, I, for one, think we ought not to be deterred from making a revolution, if without that we cannot maintain or preserve our liberties."
S3V0096P0_943,"Prelate had most enlarged, referring to the alternative of the Archbishop's resigning, that the report was not exactly correct."
S3V0076P0_6994,"In this case, what he was anxious to know was, whether the proceeding had taken place in consequence of the complaints made by the Foreign Government, or whether it had originated solely from the view taken by the Admiralty of the circumstances reported to them?"
S3V0049P0_8984,Their violent proceedings have scared from their ranks the middle classes
S4V0028P0_6283,It would be a great pity if a provision so vital as that contained in this clause were rendered inoperative by the unwillingness of the landlord to sell in consequence of having to put down one-fifth of the money as a guarantee deposit.
S3V0297P0_9395,The Bill proposed to confer these powers for the advantage of the Company; why should not the Government exercise those powers now?
S3V0166P0_9926,It was from fifteen to twenty feet long.
S3V0081P0_6610,"He asked them to stand forward to-night—as they ought to have done the other night — and reply to the statements of the Secretary of State, which established the fact that the employment of the people, and with it their whole well-being, depended upon, and was promoted by the abundance and cheapness of provisions."
S3V0243P0_17112,"He himself did not profess to very acute political knowledge; but he had asked several persons in town, and they had told him that in this proud England there was an Imperium in Imperio ."
S3V0277P0_20589,"The date in which they were performed is immaterial; but they were performed, I think, in 1875, and they were all embodied in the lecture which I hold in my hand."
S5LV0001P0_7006,"There is India with its 300 millions of population, and there are the Colonies and Protectorates, with a population of between thirty-five millions and forty millions; and when we consider the immense possibilities of development in many parts of these Colonies and Protectorates, we cannot help feeling that anything which can be done to promote healthy interchange between them and the great Indian Empire must be of advantage to the Empire as a whole."
S4V0024P0_24337,Member for the Isle of Wight was that the scheme of the Government proposed new anomalies and developed fresh inequalities.
S3V0252P0_13328,"On the contrary, we have great confidence in him, and we desire especially that his services should be given to the Committee."
S3V0004P0_4245,"Member said, that, as his Majesty's Government did not appear disposed to take up the subject of a Poor-law for Ireland, humble as he was, he would attempt that duty."
S3V0067P0_5601,"Akhbar Khan took advantage of the rising of the population—whether he slew the English Envoy or not I do not know, and, when we pay so little attention to national law, can we expect him to abide by it?"
S5LV0006P0_779,"I think in these circumstances the noble Earl is hardly justified in making any deduction from the Committee's recommendation, except that they were desirous not to trespass upon what were really matters for the Government of the day."
