,text,num_words,tag
31211,"Previous Bury Your Dead albums also had themes: Cover Your Tracks has tracks named after movies featuring Tom Cruise, in Beauty and the Breakdown the theme was children's fairy-tales, expressed through track titles, artwork and song lyrics.",37,comp_sent
47561,"As of 1 July 2022, the Pure Gold network consists of five radio stations.",14,comp_sent
73141,"On 18 July 2011 he joined CE Sabadell FC also of the second tier, In August 2012, Mackay moved to CD Atlético Baleares in the third division.",27,comp_sent
19666,"Breeding takes place in permanent pools , streams, and rivers.",10,comp_sent
4561,The 2022–23 Minnesota Golden Gophers men's basketball team represented the University of Minnesota in the 2022–23 NCAA Division I men's basketball season.,22,
55187,This list is ordered from source to mouth:.,8,
96052,"In early May 2010, the body of a Javan rhino was found in the park.",15,comp_sent
51784,"His three highest centuries came in that season, and his Lancashire aggregate and average in a season, in which the team won the County Championship, were exceeded only by Albert Ward.",31,comp_sent
76050,"This season, Malcolm Gamlen, the club secretary for over 20 years, died.",12,comp_sent
52497,"Bernat married Edwinna Bossler, a fellow Johnstown native, in 1954, and they had three daughters, Brenda, Rebecca.",17,comp_sent
21208,Limeux is a commune in the Cher department in the Centre-Val de Loire region of France.,16,
81998,"In accordance with the Canadian Forces Dress Instructions, the commander-in-chief may wear a flag officer's navy uniform or a general officer's army or air force uniform with, as appropriate or desirable, a flag or general officer hat badge, a special flag or general officer sleeve braid embellished with the commander-in-chief's badge , and a large embroidered commander-in-chief's badge on the shoulder straps or shoulder boards with the badges facing forward.",70,comp_sent
64867,Until the early 1980s it was a working farm but is now entirely residential.,14,
19876,"Shepley Oval was developed to a top standard oval in the late 1950s, with a grandstand being opened in 1959, and it has been the region's premier sports venue since the 1960s.",32,comp_sent
46723,"In September 2021, the duo sisters along with Amaal Mallik collaborated with Dua Lipa for Indian remix version of Levitating , which became a global hit.",26,comp_sent
87065,"The station stands on Hutton Lane, just east of its junction with The Avenue.",14,comp_sent
26999,"Jackson II, ran again and defeated him in the Democratic primary, after which Dalton returned to the House for two more terms.",22,comp_sent
66998,"The schools are: Before 2012, students were zoned jointly to Seagoville Elementary School and Central Elementary School, then grades PK–2 and 3–5, respectively.",23,comp_sent
951,"Although reproduction can happen anytime during the year, it happens significantly less from December–May which is during the dry season.",20,comp_sent
3571,"Lengths of the course in previous major championships: Lengths of the course in previous major championships: Graeme Storm led the field after the first round by shooting a bogey-free 65 , the only hole that played under par.",38,comp_sent
69872,In his home country he plays for the Kubota Spears whom he joined in 2013.,15,
9496,"Despite her proximity to the battle, Helgoland was not sent to aid the beleaguered German cruisers, as she could not be risked in an unsupported attack against possibly superior British forces.",31,comp_sent
5774,"He initially engages with María for this purpose, but ends up falling in love with her.",16,comp_sent
91771,The area formed part of Poland after the establishment of the state in the 10th century.,16,
73924,This palace is an ancient palace located in the heart of Thimi.,12,
2767,"The loser usually flies right away, off site.",8,comp_sent
23097,"Pioneer species will eventually die, create plant litter, and break down as leaf mold after some time, making new soil for secondary succession , and releasing nutrients for small fish and aquatic plants in adjacent bodies of water.",38,comp_sent
12141,From here the story carries on without further exploring Yu Chen's background.,12,
74112,"Film critic Roberto Curti referred to the film as a turgid, verbose and violent melodrama, in which the only memorable asset is John Saxon’s over-the-top performance.",26,comp_sent
88206,The species of this genus are found in Europe and Australia.,11,
65660,He holds a master's degree in Administrative Education from the University of South Carolina.,14,
95639,The five-semester nursing program led to an Associate of Science in Nursing degree and eligibility to take registered nurse licensure exams.,21,
74710,"Goffman began his TV writing career in 2002 as a staff writer on The West Wing, where he wrote for several seasons.",22,comp_sent
55298,"After 157 km and at Te Araroa near Hicks Bay the road turns sharply right, although straight traffic may continue on to reach the East Cape.",26,comp_sent
78147,"It was based on the play The Two Sergeants by Theodore d'Aubigny, which has been made into films several times.",20,comp_sent
64960,The purity of the ice also increases.,7,
90240,He received Ukrainian citizenship in 2009 and the next year was appointed Eparchial Bishop of the same eparchy.,18,
75678,Women of the Gulag is a 2018 US short documentary film A collection of unique and candid interviews with women who survived the Stalin's repression of the 1930s.,28,
88708,The fights of Singmanee are always beautiful to see because this boxer controls at once the technique and the power.,20,
4262,In 1903 the Dublin Corporation passed this motion on the 7th of December 1903.,14,
78114,The original Theme from Jurassic Park and Journey to the Island are not heard until the film's final scene and end credits.,22,
57595,"While playing in his first season with Georgina Ice, Walker was called up by the Newmarket Hurricanes, Georgina Ice's Junior A ice hockey affiliate, for five games.",27,comp_sent
89980,"The ascocarps are irregular pale brown saucers up to 5 cm in diameter, appearing from summer to autumn.",18,comp_sent
60192,Pymble station opened on 1 January 1890 when the North Shore line opened from Hornsby to St Leonards.,18,
45817,No NCAA-designated major selector has selected a Washington State team as national champions.,13,
39095,Rhypopteryx is a genus of moths in the subfamily Lymantriinae.,10,
26213,A 1995 study showed high levels of toxic substances in receiving waters and sediments along urban areas of the creek versus undeveloped areas.,23,
