,text,num_words,tag
8493217,As regards the other point—that the remission of the Land Tax is a release or compounding of a debt due to the Crown—the hon.,24,leftward_sent
2749159,The landed proprietary were by no means in an enviable position.,11,leftward_sent
10182364,HALDANE said it was used for gun cotton.,8,leftward_sent
3549140,Gentleman says that if we maintain that church rates are utterly unjust and intolerable we shall be justified in voting for the second reading of the present Bill.,28,leftward_sent
3243021,But will any man pretend to find in it the germ of the Protestant Church as it now exists?,19,leftward_sent
2238059,The working clergy of the country must make up their minds to a reduction in their incomes of not less than 25 per cent; and he would ask their Lordships if they would wish to see the clergy placed in such a position?,43,leftward_sent
4377674,Gentleman said riots were common at Irish elections; but he had not been governed by the precedents set by former Committees.,21,leftward_sent
9399221,Gentleman seemed to think that that was a matter which could be determined by the issue of a Government Whip.,20,leftward_sent
1818651,Baronet concluded by moving for leave to bring in the bill.,11,leftward_sent
9697144,Gentleman would avail himself of this opportunity to have the matter attended to.,13,leftward_sent
7917564,The following grievances militate against enlistment.,6,leftward_sent
1080525,Gentleman know of the subject when he made that gratuitous assertion.,11,leftward_sent
9125841,But let us assume for a moment that the private contractor cannot produce the armour required.,16,leftward_sent
6826828,Gentleman said that the real answer to the objections raised by the hon.,13,leftward_sent
10338735,Gentleman would see his way rather to increasing the work that was done in this department than putting it out to contract.,22,leftward_sent
10600638,Just take merely as a test this question of battleships.,10,leftward_sent
865334,That would be a measure of principle—it would be the most fair method,13,leftward_sent
6907512,Gentleman attached immense importance to the case of Whittle Harvey.,10,leftward_sent
8398471,"Or would it not be more in accordance with the usual practice to continue the discussion on the Motion ""That Mr. Speaker do now leave the Chair"" on the reassembling of the House?",33,leftward_sent
10307153,Then look at the duplication of authority.,7,leftward_sent
7645203,Gentleman made allowance for articles cleared in England but consumed in Ireland?,12,leftward_sent
4276418,Gentleman should have been removed to make room for a right hon.,12,leftward_sent
2893014,Gentleman know nothing of the history of Ire- land for the last fifty or sixty years?,16,leftward_sent
6934722,"Gentlemen would not proffer their assistance by cries of ""Withdraw!""",10,leftward_sent
7616187,Gentleman will give the Committee some information on the subject.,10,leftward_sent
8217768,Gentleman should say that he had never heard complaints as to the reading-room before.,14,leftward_sent
6171235,Baronet told the House that he was in favour of the measure brought forward by the hon.,17,leftward_sent
10195307,Gentleman proposed with the assent of Parliament to embody the Territorial Army when war broke out.,16,leftward_sent
9938394,Gentleman would then only need to issue stock or bonds to an equivalent amount.,14,leftward_sent
4307451,Gentleman should be so very emulous to deal with this important question with which Her Majesty's Government have felt it their duty to grapple; but the right hon.,28,leftward_sent
6174748,That depended on the point of view from which the matter was regarded.,13,leftward_sent
4421278,Gentleman refused to confirm these declarations by his vote; and then was it not a stigma on the Church of Ireland that she should not only be endowed but disendowed?,30,leftward_sent
9806977,That seems to me to be almost the whole of the argument of the right hon.,16,leftward_sent
10782687,Gentleman say by what procedure these Resolutions would be introduced into the House of Lords?,15,leftward_sent
5030009,How could they expect a rate-collector to waste his time in making those collections?,14,leftward_sent
3246029,Gentleman would next Wednesday move that my Bill should be committed that day six months the Government would support the Motion.,21,leftward_sent
10085830,Gentleman suspected when he suggested them in order to satisfy the views which the Labour Members so ably expressed?,19,leftward_sent
9734936,Gentleman referred to myself and not to my colleagues; and I do not in the least quarrel with the change of venue.,22,leftward_sent
10858380,That seems to be the whole argument in favour of this view.,12,leftward_sent
2180041,The following is an extract from the memorial presented at the time.,12,leftward_sent
7255710,In assenting to this clause—which was merely a permissive one,10,leftward_sent
4251378,To use an expression which had fallen from the right hon.,11,leftward_sent
5044910,In placing the schools under the Commissioners the House had determined that they should be governed by a body responsible to Parliament and the country.,25,leftward_sent
8310036,Gentleman found that all the Departments were agreed in carrying out that recommendation without exception?,15,leftward_sent
9609883,Ireland might make a strong case on the lines which had only been more or less glanced at by the hon. and learned Member who had moved this Amendment.,29,leftward_sent
10647757,That would describe a particular class of tree.,8,leftward_sent
1817372,Gentleman seemed to suppose that some agreement had taken place between him and the right hon.,16,leftward_sent
9605234,To ask Mr. Chancellor of the Exchequer whether he is aware that the French Government will require a stamp of 1 per cent. to be affixed to the new 2½,30,leftward_sent
10285895,Limerick stands also upon a high level in the estimation of those who have presided as Judges there.,18,leftward_sent
3976825,In assenting to its introduction no Member would be held committed to the principle of the measure.,17,leftward_sent
4477987,That would not be a very convenient process to go through at the end of July.,16,leftward_sent
7762420,Gentleman attributes to me and my Colleagues on this Bench differences which he has created in his own imagination.,19,leftward_sent
9915062,Gentleman went on to expressly justify the tax on the ground that it probably would not increase the price to the consumer because of the operation of the bounties.,29,leftward_sent
1384419,Whatever might be said of his entertaining—from the different aspect,10,leftward_sent
3932414,Gentleman asked what was the use of the certificate.,9,leftward_sent
10332499,Gentleman get rid of policemen who cannot speak these languages?,10,leftward_sent
7529512,Gentleman must himself see that it would be premature for the Government to pledge themselves in regard to the provisions of any Bill which they may hereafter bring before the House.,31,leftward_sent
1806034,Gentleman would have moved his amendment on this part of the bill.,12,leftward_sent
3259090,Gentleman called a National Gallery of the people; and he considered that the subject involved a much larger question than the mere choice of a site.,26,leftward_sent
2375831,The sliding-scale was in fact an ingenious contrivance to impose a forfeit upon every merchant who ventured to order cargoes of corn from a distant port.,26,leftward_sent
8889153,This resulted so satisfactorily that when an attempt was made a few years ago to repeal the Act the electors had it incorporated in the constitution of the State of Maine that there should be total prohibition.,37,leftward_sent
4908187,"Gentleman would probably wish to extend it to persons unable to read or write; nor would such an extension be precluded by the word ""officer"" in this clause.",28,leftward_sent
9374994,As regards Mr. Isaac Joel I have no information in these matters.,12,leftward_sent
8581121,"Gentleman spoke of the ""solution"" which had been propounded by Her Majesty's Government without any reserve as to the rest of the Powers.",23,leftward_sent
10693424,To attach this condition of a five years' agreement to the exemption is really to nullify its use to these poorer clubs.,22,leftward_sent
3209582,Baronet should have referred to circumstances which occurred long before he made those observations as grounds of complaint against the hon.,21,leftward_sent
5881908,Trichinæ appeared to have been first heard of about the year 1835; but last year another parasite made its appearance in American hams.,23,leftward_sent
4234218,The following were a portion of the right hon.,9,leftward_sent
2996258,Gentleman said when he stated that the Government of Lord Aberdeen was pledged to Parliamentary reform since its acceptance of office.,21,leftward_sent
7911877,Gentleman can perhaps give me an answer in a couple of days.,12,leftward_sent
3817048,Gentleman alleging that a distinction ought to be made in the case of some boroughs.,15,leftward_sent
6489795,Baronet knew that one or more Parliamentary boroughs would be affected by these words.,14,leftward_sent
10638491,This raises the point as to the difficulty of land being sold as land not subject to this tax quite innocently.,21,leftward_sent
