,text,num_words,tag
45164,"A significant tomb is that of Martin Pring, who died at the age of 46 in 1627.",17,comp_sent
25366,The 47 members of the National Assembly are elected from single-member constituencies.,12,
36209,The name Bofors is strongly associated with the Bofors 40 mm L/60 gun used by both sides during World War II.,21,
4712,"She built a new palace at Jibla, and transformed the old palace into a great mosque where she was eventually buried.",21,comp_sent
31999,"Vilafranca is a municipality in the comarca of Alt Maestrat, in the province of Castellón, Valencian Community, Spain.",18,comp_sent
12630,"It lies at an elevation of 1,910 metres and has been described as a conifer-flecked cirque.",16,comp_sent
6982,"The Apaches featured in the film were actually the Vernon Tigers team players, then among the best professional baseball players in California in the Pacific Coast League.",27,comp_sent
42736,"Photographed by Alex Henderson with graphics by Richard Evans, the cover featured model Stephanie Marrian spreadeagled and nude but for a pair of shoes, with a man's arm reaching up between her legs and his boxing-gloved hand hiding her genitalia.",40,comp_sent
6640,"The church was organized in 1871 and had its first building, the Corona Chapel, built in 1877 at what is now 217 Midway.",23,comp_sent
12457,Other types of fastener include: The American Society of Mechanical Engineers publishes several Standards on fasteners.,16,
16716,"In 2010, Vrienten appeared in Ali B op volle toeren, a programme in which young Dutch rappers exchange songs with established artists.",22,comp_sent
29308,"His best result was 2nd, a race in which he shared the podium with FIA Formula 1 driver Yuki Tsunoda and FIA Formula 3 driver Lirim Zendeli.",27,comp_sent
17955,"One of these groups, United Soccer Association led by Jack Kent Cooke, selected 12 cities for team locations and Roy Hofheinz, former Houston Mayer and owner of the Houston Astros, was awarded a franchise.",34,comp_sent
20897,The stream was then made available to everyone the day after it aired.,13,
13951,The fruit is a dehiscent capsule containing many bumpy seeds.,10,
16528,It was created on the back of the success of the Spice Girls.,13,
1665,His highest ATP singles ranking is world No.,8,
29252,"Celebrities shared their liking or distaste for Hawaiian pizza, Guðni later clarified that he was only joking, and that he did not have the power to ban particular toppings on pizza; he added that even he would not like to live in a country where the leader could ban anything that they did not like.",55,comp_sent
14406,It spreads by new stems sprouting from the spreading root system.,11,
11827,"From 1992 to 1994, the journal's title was The Clinical Investigator.",11,comp_sent
37567,Get Rhythm is a studio album by Ry Cooder.,9,
7419,"The Jatakas describe the kinnaras as innocent and harmless, hop like birds, are fond of music and song, and with the female beating a drum and male playing on lute.",30,comp_sent
28076,It is the tallest building in the neighborhood.,8,
48305,Vřesina is a municipality and village in Ostrava-City District in the Moravian-Silesian Region of the Czech Republic.,17,
39344,"There is one more race on the schedule, as it now contains 23 races instead of 22 from 2021.",19,comp_sent
47014,"The denomination 526 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",29,comp_sent
5749,"Glimmande nymf is a 1974 album by the Swedish folk singer-songwriter and guitar player Fred Åkerström and his CMB Trio, with more of his acclaimed interpretations of Carl Michael Bellman's Fredman's Epistles and Fredman's Songs.",35,comp_sent
20234,"In 1992, when the Indian government allowed Coca-Cola to return for operations, at the same time as it admitted Pepsi for the first time, Coca-Cola bought local soft-drink.",28,comp_sent
6238,"Venice is a census-designated place in Douglas County, Nebraska, United States.",11,comp_sent
9975,The developer of the site is the Skid Row Housing Trust.,11,
26285,In October 1987 the two Garcia bands played a series of 18 concerts at the Lunt-Fontanne in New York's Broadway theatre district.,22,
31605,She began her professional music career as a member of Dezil'.,11,
15365,"As of December 11, 2013, the Downingtown STEM Academy was ranked as the top public high school in the state of Pennsylvania, achieving a School Performance Profile score of 101.",30,comp_sent
