id|title|text
1|Shahid Abbaspour Dam|The dam's electrical output is connected to the national electrical grid, with most generation occurring during periods of peak demand for electricity.
2|<i>Kidnap</i> (2008 film)|Kabir makes him realise that Vikrant is a criminal himself even though he committed the crimes to rescue Sonia.
3|<i>The Ernie Game</i>|He grows increasingly alienated and his fragile mental state declines, moving between two women, ex-girlfriend and current lover.
4|Lake Norconian|Lake Norconian is an artificial lake in Norco, Riverside County, California.
5|La Paz revolution|It was not until the autumn of 1807 when Napoleon moved French troops through Spain to invade Portugal and with Spanish authority already fatally weakened, that the prospect of independence re-emerged in the native imagination.
6|Optical pumping|Optical pumping is also used to cyclically pump electrons bound within an atom or molecule to a well-defined quantum state.
7|<i>Diary of a Spider</i>|It is written by Doreen Cronin and it is illustrated by Harry Bliss.
8|<i>Anglo-Saxon Deviant Burial Customs</i>|In the third chapter, Social deviants in a pagan society, Reynolds looks at the evidence for deviant burial practices from the fifth to the eighth centuries.
9|Gorizia|The town thus enjoys an exceptionally mild climate throughout the year, making it a popular resort town.
10|Horace P. Biddle|He published several works on literary theory, including The Definition of Poetry , and a pamphlet describing an instrument of his invention called the tetrachord.
11|Cinder Block (musician)|Before Tilt, Cinder was in a band called Prick.
12|<i>Pawnography</i>|If the round ends in a tie between the contestants, Titus asks them one last question; the first contestant to answer correctly wins an additional $200 and advances.
13|<i>Tropidophis caymanensis</i>|Tropidophis caymanensis, or the Cayman Islands dwarf boa, is a species of snake in the family Tropidophiidae and is classified as critically endangered.
14|<i>Empire of the Blind</i>|Whenever we had a long enough break, I would work on stuff but it just really wasn't until last year where I had enough time to finish writing and I had more than enough for an album.
15|<i>Nipponaphera tuba</i>|Nipponaphera tuba is a species of sea snail, a marine gastropod mollusk in the family Cancellariidae, the nutmeg snails.
16|Karl W. Gruenberg|Gruenberg was a British mathematician who specialised in group theory, in particular with the cohomology theory of groups.
17|<i>Carex scoparia</i>|The inflorescence is a cluster or open array of several bullet-shaped spikes of flowers.
18|Belovo, Kemerovo Oblast|Among them - 41 secondary schools and 5 evening schools, 34 preschool entities, palace of creativity of Children and Youth, б professional schools, medical school, pedagogical and polytechnic colleges, Belovo branch of Kemerovo State University, branches of the Kuzbass Technical University, Tomsk University of Architecture and Building, Tomsk Polytechnic University.
19|<i>Gymnosiphon</i>|Gymnosiphon is distributed across the moist, tropical regions of Asia, America and Africa.
20|<i>Corona de lágrimas</i> (2012 TV series)|Patricio finds out that his father is not the same as that of his brothers; Accuses his mother of being unfaithful and demands that she never come back to him.
21|<i>Badbakht</i>|It stars Sabeena Syed and Fahad Shaikh in leads.
22|Hauketo|It is located south of Ljabru, east of Sloreåsen, west of Mortensrud and north of Holmlia and Prinsdal.
23|<i>Heart of the Heartland</i>|Heart of the Heartland is the first album in Peter Ostroushko's heartland trilogy, released in 1995.
24|Issachar|Two different etymologies for the name of Issachar have been proposed based on the text of the Torah, which some textual scholars attribute to different sources—one to the Yahwist and the other to the Elohist.
25|Dean Obeidallah|His father was born in Battir, Mandatory Palestine and his mother's parents were born in Sicily.
26|Negros del Norte|The creation of the new province was ratified on January 3, 1986.
27|Oleksandr Sviatotskyi|Legal Journal “Law of Ukraine”.
